Time;AMF_UE_NGAP_ID;ip_source;procedureCode;EPD;spare;SecHdr;Type;NAS_KSI;5GSRegType;5GSID;UESecCap;PayloadContainerType;PayloadContainer;RES;Seqn;EPD_2;spare_2;SecHdr_2;NASSecAlgo;EPD_3;spare_3;SecHdr_3;Type_2
0.04001;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
0.041823;549755813888;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
0.041987;549755813888;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
0.042866;549755813888;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;1;;;;
0.04332;549755813888;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
0.043333;549755813888;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
0.087683;549755813888;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
0.08797;549755813888;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
0.088085;549755813888;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
32.168309;549755813888;20.0.2.10;46;126;0;2;69;0;;2;;;;;3;126;0;0;;;;;
1.789354;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
1.799491;0;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
1.799763;0;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
1.802804;0;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
1.803024;0;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
1.852927;0;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
1.853258;0;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
1.853461;0;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
1.968751;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
1.982275;1;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
1.982443;1;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
1.983962;1;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
1.984134;1;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
2.006242;1;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
2.006519;1;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
2.00666;1;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
2.168737;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
2.172934;2;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
2.173152;2;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
2.17496;2;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
2.17513;2;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
2.182265;2;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
2.18254;2;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
2.182685;2;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
2.36876;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
2.383631;3;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
2.383804;3;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
2.385251;3;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
2.385427;3;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
2.392086;3;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
2.392367;3;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
2.39246;3;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
2.568837;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
2.570688;4;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
2.570855;4;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
2.572213;4;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
2.572387;4;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
