Time;AMF_UE_NGAP_ID;ip_source;procedureCode;EPD;spare;SecHdr;Type;NAS_KSI;5GSRegType;5GSID;UESecCap;PayloadContainerType;PayloadContainer;RES;Seqn;EPD_2;spare_2;SecHdr_2;NASSecAlgo;EPD_3;spare_3;SecHdr_3;Type_2;5GMMCause;Label
0.04001;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
0.041823;549755813888;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
0.041987;549755813888;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
0.042866;549755813888;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;1;-1;-1;-1;-1;-1;valid
0.04332;549755813888;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
0.043333;549755813888;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;invalid
0.087683;549755813888;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
0.08797;549755813888;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
0.088085;549755813888;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
32.168309;549755813888;20.0.2.10;46;126;0;2;69;0;-1;2;-1;-1;-1;-1;3;126;0;0;-1;-1;-1;-1;-1;-1;valid
0.039471;-1;10.63.112.69;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
