Time;Length;Protocol;Source IP;Destination IP;procedurecode;Info;criticality;protocolies;tac;sst;sd;relativeamfcapacity;rrcestablishmentcause;nas_5gs_mm_suci_supi_fmt;nas_5gs_mm_type_id;nas_5gs_mm_suci_routing_indicator;nas_5gs_mm_suci_pki;nas_5gs_mm_suci_scheme_id;suci_scheme_output;nas_pdu;per_octet_string_length;nas_5gs_epd;nas_5gs_security_header_type;nas_5gs_security_header_type;nas_5gs_mm_message_type;nas_5gs_mm_5gmm_cause;gsm_a_dtap_rand;gsm_a_dtap_autn;gsm_a_dtap_auts;gsm_a_dtap_autn_sqn_xor_ak;gsm_a_dtap_autn_mac
2024-03-08 10:40:21.638022;132;NGAP;20.0.2.10;20.0.20.10;21;;0;4;1011;01;00:03:e8;;;;;;;;;;12;;;;;;;;;;
2024-03-08 10:40:21.638182;124;NGAP;20.0.20.10;20.0.2.10;21;;0;4;;01;00:03:e8;10;;;;;;;;;11;;;;;;;;;;
2024-03-08 10:40:21.679033;180;NGAP;20.0.2.10;20.0.20.10;15;InitialUEMessage;1;5;1011;;;;3;0;1;1234;1;2;;7e:00:41:79:00:36:01:22:f6:40:21:43:02:01:02:af:bf:af:e4:da:5a:47:ac:95:6a:68:26:f6:3a:12:d5:76:2c:c2:e4:78:c4:cb:99:7b:c2:e1:02:85:1d:b0:47:05:eb:dc:8d:37:19:83:d9:af:c2:cd:d9:1b:2e:02:f0:f0;64;126;0;0;0x41;;;;;;
2024-03-08 10:40:21.680737;156;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:00:56:00:02:00:00:21:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:20:10:ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;42;126;0;0;0x56;;ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff;ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;;ff:ff:ff:ff:ff:ff;00:29:b1:4e:f2:f3:6e:46
2024-03-08 10:40:21.681045;152;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:00:59:15:30:0e:21:83:af:d2:55:32:53:5d:a4:f5:1f:58:f1:e4;20;126;0;0;0x59;21;;;21:83:af:d2:55:32:53:5d:a4:f5:1f:58:f1:e4;;
2024-03-08 10:40:21.694679;156;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:00:56:00:02:00:00:21:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:20:10:fb:7e:c4:92:35:e1:80:00:5f:b0:a3:fe:9d:4a:b3:9e;42;126;0;0;0x56;;ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff;fb:7e:c4:92:35:e1:80:00:5f:b0:a3:fe:9d:4a:b3:9e;;fb:7e:c4:92:35:e1;5f:b0:a3:fe:9d:4a:b3:9e
2024-03-08 10:41:25.949561;132;NGAP;20.0.2.10;20.0.20.10;21;;0;4;1011;01;00:03:e8;;;;;;;;;;12;;;;;;;;;;
2024-03-08 10:41:25.949701;124;NGAP;20.0.20.10;20.0.2.10;21;;0;4;;01;00:03:e8;10;;;;;;;;;11;;;;;;;;;;
2024-03-08 10:41:25.989627;180;NGAP;20.0.2.10;20.0.20.10;15;InitialUEMessage;1;5;1011;;;;3;0;1;1234;1;2;;7e:00:41:79:00:36:01:22:f6:40:21:43:02:01:02:af:bf:af:e4:da:5a:47:ac:95:6a:68:26:f6:3a:12:d5:76:2c:c2:e4:78:c4:cb:99:7b:c2:e1:02:85:1d:b0:47:05:eb:dc:8d:37:19:83:d9:af:c2:cd:d9:1b:2e:02:f0:f0;64;126;0;0;0x41;;;;;;
2024-03-08 10:41:25.992088;156;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:00:56:00:02:00:00:21:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:20:10:ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;42;126;0;0;0x56;;ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff;ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;;ff:ff:ff:ff:ff:ff;00:29:b1:4e:f2:f3:6e:46
2024-03-08 10:41:25.992459;152;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:00:59:15:30:0e:21:83:af:d2:55:32:53:5d:a4:f5:1f:58:f1:e4;20;126;0;0;0x59;21;;;21:83:af:d2:55:32:53:5d:a4:f5:1f:58:f1:e4;;
2024-03-08 10:42:27.516073;132;NGAP;20.0.2.10;20.0.20.10;21;;0;4;1011;01;00:03:e8;;;;;;;;;;12;;;;;;;;;;
2024-03-08 10:42:27.516221;124;NGAP;20.0.20.10;20.0.2.10;21;;0;4;;01;00:03:e8;10;;;;;;;;;11;;;;;;;;;;
2024-03-08 10:42:27.557039;180;NGAP;20.0.2.10;20.0.20.10;15;InitialUEMessage;1;5;1011;;;;3;0;1;1234;1;2;;7e:00:41:79:00:36:01:22:f6:40:21:43:02:01:02:af:bf:af:e4:da:5a:47:ac:95:6a:68:26:f6:3a:12:d5:76:2c:c2:e4:78:c4:cb:99:7b:c2:e1:02:85:1d:b0:47:05:eb:dc:8d:37:19:83:d9:af:c2:cd:d9:1b:2e:02:f0:f0;64;126;0;0;0x41;;;;;;
2024-03-08 10:42:27.559306;156;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:00:56:00:02:00:00:21:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:20:10:ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;42;126;0;0;0x56;;ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff;ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;;ff:ff:ff:ff:ff:ff;00:29:b1:4e:f2:f3:6e:46
2024-03-08 10:42:27.559565;152;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:00:57:2d:10:b6:95:b3:75:9a:9c:45:71:6c:3a:99:92:47:ba:0c:e5;21;126;0;0;0x57;;;;;;
2024-03-08 10:42:27.560058;116;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:00:58;3;126;0;0;0x58;;;;;;
2024-03-08 10:42:27.560094;100;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:00:44:09;4;126;0;0;0x44;9;;;;;
2024-03-08 10:42:27.560161;92;NGAP;20.0.20.10;20.0.2.10;41;;0;2;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 10:42:27.560344;108;NGAP;20.0.2.10;20.0.20.10;41;;0;2;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 09:44:53.127862;132;NGAP;20.0.2.10;20.0.20.10;21;;0;4;1011;01;00:03:e8;;;;;;;;;;12;;;;;;;;;;
2024-03-08 09:44:53.127991;124;NGAP;20.0.20.10;20.0.2.10;21;;0;4;;01;00:03:e8;10;;;;;;;;;11;;;;;;;;;;
2024-03-08 09:44:53.168798;180;NGAP;20.0.2.10;20.0.20.10;15;InitialUEMessage;1;5;1011;;;;3;0;1;1234;1;2;;7e:00:41:79:00:36:01:22:f6:40:21:43:02:01:02:af:bf:af:e4:da:5a:47:ac:95:6a:68:26:f6:3a:12:d5:76:2c:c2:e4:78:c4:cb:99:7b:c2:e1:02:85:1d:b0:47:05:eb:dc:cd:34:fe:4a:97:b5:66:db:f3:ce:2e:02:f0:f0;64;126;0;0;0x41;;;;;;
2024-03-08 09:44:53.170716;156;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:00:56:00:02:00:00:21:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:20:10:ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;42;126;0;0;0x56;;ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff:ff;ff:ff:ff:ff:ff:ff:80:00:00:29:b1:4e:f2:f3:6e:46;;ff:ff:ff:ff:ff:ff;00:29:b1:4e:f2:f3:6e:46
2024-03-08 09:44:53.170924;152;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:00:57:2d:10:b5:95:b3:75:9a:9c:45:71:6c:3a:99:92:47:ba:0c:e5;21;126;0;0;0x57;;;;;;
2024-03-08 09:44:53.171790;132;NGAP;20.0.20.10;20.0.2.10;4;DownlinkNASTransport;1;3;;;;;;;;;;;;7e:03:00:00:00:00:00:7e:00:5d:00:00:02:f0:f0:e1:36:01:02;19;126;3;3;0x5d;;;;;;
2024-03-08 09:44:53.172006;236;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;0;5;1234;1;2;;7e:04:00:00:00:00:00:7e:00:5e:77:00:09:85:76:00:00:00:00:00:00:f1:71:00:4e:7e:00:41:79:00:36:01:22:f6:40:21:43:02:01:02:af:bf:af:e4:da:5a:47:ac:95:6a:68:26:f6:3a:12:d5:76:2c:c2:e4:78:c4:cb:99:7b:c2:e1:02:85:1d:b0:47:05:eb:dc:cd:34:fe:4a:97:b5:66:db:f3:ce:10:01:00:2e:02:f0:f0:2f:09:08:01:00:03:e8:0a:00:00:64;103;126;4;4;0x5e;;;;;;
2024-03-08 09:44:53.218998;236;NGAP;20.0.20.10;20.0.2.10;14;;0;7;;01;00:03:e8;;;;2;;;;;7e:02:00:00:00:00:01:7e:00:42:01:01:77:00:0b:f2:22:f6:40:01:00:83:00:00:00:00:54:07:00:22:f6:40:00:03:f3:15:09:08:01:00:03:e8:0a:00:00:64:21:03:01:00:01:5e:01:05;54;126;2;2;0x42;;;;;;
2024-03-08 09:44:53.219118;108;NGAP;20.0.2.10;20.0.20.10;14;;0;2;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 09:44:53.219178;116;NGAP;20.0.2.10;20.0.20.10;44;;1;3;;;;;;;;;;;;;17;;;;;;;;;;
2024-03-08 09:44:53.219284;128;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:02:00:00:00:00:01:7e:00:43;10;126;2;2;0x43;;;;;;
2024-03-08 09:44:53.219443;168;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:02:00:00:00:00:02:7e:00:67:01:00:08:2e:01:01:c1:00:00:91:a1:12:01:81:22:08:01:00:03:e8:0a:00:00:64:25:11:03:64:6e:6e:08:6b:65:79:73:69:67:68:74:03:63:6f:6d;53;126;2;2;0x67;;;;;;
2024-03-08 09:44:53.219905;1245;HTTP2;20.100.100.1;20.100.40.100;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 09:44:53.263974;1123;HTTP2;20.100.40.100;20.100.100.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 09:44:53.265379;248;NGAP;20.0.20.10;20.0.2.10;29;;0;4;;01;00:03:e8;;;;;;;;;;79;126;2;2;0x68;;;;;;
2024-03-08 09:44:53.265829;128;NGAP;20.0.2.10;20.0.20.10;29;;0;3;;;;;;;;;;;;;13;;;;;;;;;;
2024-03-08 09:44:53.266062;662;HTTP2;20.100.100.1;20.100.40.100;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 09:44:54.288727;136;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:02:00:00:00:00:03:7e:00:67:01:00:04:2e:01:02:d1:12:01;19;126;2;2;0x67;;;;;;
2024-03-08 09:44:54.289158;586;HTTP2;20.100.100.1;20.100.40.100;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 09:44:54.310135;699;HTTP2;20.100.40.100;20.100.100.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-03-08 09:44:54.310608;144;NGAP;20.0.20.10;20.0.2.10;28;;0;4;;;;;;;;;;;;7e:02:00:00:00:00:03:7e:00:68:01:00:05:2e:01:02:d3:24:12:01;20;126;2;2;0x68;;;;;;
2024-03-08 09:44:54.310756;136;NGAP;20.0.2.10;20.0.20.10;28;;0;4;1011;;;;;;;;;;;;1;;;;;;;;;;
2024-03-08 09:44:54.310905;136;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;;;;;;7e:02:00:00:00:00:04:7e:00:67:01:00:04:2e:01:02:d4:12:01;19;126;2;2;0x67;;;;;;
2024-03-08 09:44:54.311036;140;NGAP;20.0.2.10;20.0.20.10;46;UplinkNASTransport;1;4;1011;;;;;;2;;;;;7e:02:00:00:00:00:05:7e:00:45:01:00:0b:f2:22:f6:40:01:00:83:00:00:00:00;24;126;2;2;0x45;;;;;;
2024-03-08 09:44:54.311265;651;HTTP2;20.100.100.1;20.100.40.100;;;;;;;;;;;;;;;;;;;;;;;;;;;
